date,userid,text,sentiment
11/16/2020 23:31,1.33E+18,"how can I get @apple to approved the Trump Yeezy emote as an emoji?

seems like an obvious winner",0
11/16/2020 23:31,1.33E+18,@dananessel @AppleSupport @FBI @GovWhitmer @MIAttyGen @washingtonpost @WashTimes @FoxNews @SenGaryPeters… https://t.co/KRUneTbhb4,0
11/16/2020 23:31,1.33E+18,RT @SarahMidMO: Applications close November 20 for the first #AppleEntrepreneurCamp cohort for #BlackFounders and #BlackDevelopers with app…,0
11/16/2020 23:31,1.33E+18,@Apple y’all sexist as fuck,0
11/16/2020 23:31,1.33E+18,RT @betamaxdc: @coyote_pastel @Apple How about new JOKER PRODUCTS? Love that Folker bro. https://t.co/MEW5AWYUhf,0
11/16/2020 23:30,1.33E+18,"RT @UCBerkeley: UC Berkeley just launched CA #COVIDNotify, which uses 
@Google &amp; @Apple's smartphone-based exposure notification system. It…",0
11/16/2020 23:29,1.33E+18,Group consist of a member or filter for each country ensuring safety and communication for all and private. To be b… https://t.co/vJrtWyphvU,0
11/16/2020 23:29,1.33E+18,"RT @MJGWrites: Just so you know what platform Sean, @DevinNunes, @Jim_Jordan, @dbongino and the other right wingers are asking you to join.…",0
11/16/2020 23:29,1.33E+18,"RT @mauilion: Hey everyone! @Apple is a proud End User Sponsors of #KubeCon NA 2020! 

It's amazing to see so many coworkers presenting thi…",0
11/16/2020 23:29,1.33E+18,"New video shot on the @Apple @MyiStoreSA iPhone 11

https://t.co/4Sg2cRGrch",0
11/16/2020 23:29,1.33E+18,@Apple let’s stop making new phones and make that maps app more accurate 😤😤,0
11/16/2020 23:29,1.33E+18,I’ll never forgive @apple for changing the gun emoji. Like what was the purpose for this mess??? 🔫,0
11/16/2020 23:29,1.33E+18,"My icons keep getting switch around some kinda way and i don’t like it...

Wtf @Apple got going on",0
11/16/2020 23:28,1.33E+18,"RT @mac_mcnasty: @Apple 
Why am I prompted for my password when I try to install an app? I am signed in to with my Apple ID on my phone AND…",0
11/16/2020 23:28,1.33E+18,"@Apple 
Why am I prompted for my password when I try to install an app? I am signed in to with my Apple ID on my ph… https://t.co/OKweIUGJ8d",0
11/16/2020 23:28,1.33E+18,@betamaxdc @Apple seriously new and improved *jerk off motion*,0
11/16/2020 23:28,1.33E+18,@Apple So.  Bootcamp...,0
11/16/2020 23:27,1.33E+18,@coyote_pastel @Apple How about new JOKER PRODUCTS? Love that Folker bro. https://t.co/MEW5AWYUhf,0
11/16/2020 23:27,1.33E+18,Either Twitter messed up the quality or @Apple sold you the same thing as an 11 pro https://t.co/HqdrqSYcI1,0
11/16/2020 23:27,1.33E+18,@Ms_Persia @Apple 😂 that was probably 12 years ago when we met. Much has changed 😜🙃,0
11/16/2020 23:27,1.33E+18,@Apple you mean MIGHTi ?,0
11/16/2020 23:27,1.33E+18,The battle of nanometres just started. I am sure that there will be lot of more of that kind battles as development… https://t.co/Ro6DRPIMlD,0
11/16/2020 23:26,1.33E+18,@GiammariaCaf @Apple They said “You can either wait for an update or you can remove the beta version of iOS and ret… https://t.co/ASQKQ0pOCO,0
11/16/2020 23:26,1.33E+18,@Apple can y’all make a blunt emoji that cig not cuttin it 🙄,0
11/16/2020 23:25,1.33E+18,"when i purchase @apple products, i wanna feel like Im investing in my future,",0
11/16/2020 23:25,1.33E+18,"RT @UCBerkeley: UC Berkeley just launched CA #COVIDNotify, which uses 
@Google &amp; @Apple's smartphone-based exposure notification system. It…",0
11/16/2020 23:24,1.33E+18,"Ayo @Apple, ¿where is the Northern Ireland emoji flag? Zi use the shamrock ☘️ for now. Also, ¿can we get the Trans… https://t.co/y3sPgQmtA5",0
11/16/2020 23:24,1.33E+18,Installed #macOSBigSur. Safari is still the most #underdesigned @Apple product adjusted to the hours of usage ratio.,0
11/16/2020 23:24,1.33E+18,"@S_Sullivan911 @Apple Okay Sean... what happened to that baby face 😭 
I’m getting old",0
11/16/2020 23:24,1.33E+18,.@Apple cat emoji with sunglasses,0
11/16/2020 23:23,1.33E+18,@Apple the new Samsung is looking better day by day and it has nice colours to   Goose from. I have a suggestion br… https://t.co/ks2JCIs92K,0
11/16/2020 23:23,1.33E+18,"RT @mariannekelly66: @James_BG This is so disingenuous of DB.  it needs sharing on Linkedin.

makes me think that they are involved in tax…",0
11/16/2020 23:23,1.33E+18,"@apple I though it was my fault, I googled to discover tons of complains about broken screens and tons of reviews.… https://t.co/MDkTFnAnlA",0
11/16/2020 23:23,1.33E+18,@lewtapera @Apple @AppleSupport @WSJ @PhillyInquirer Yeah I think I’m all set now,0
11/16/2020 23:22,1.33E+18,Automatic updates for iPhone does not work @Apple,0
11/16/2020 23:22,1.33E+18,RT @ArtVolumeOne: @EmmaDabiri @edoheart @LeStyleDiaspora @Apple There are countless examples of this analysis here is one example using Kam…,0
11/16/2020 23:21,1.33E+18,@tom_trotts @Twitter @KrisKobach1787 @realDonaldTrump @Facebook @Apple @Google @YouTube Got suspended yesterday for… https://t.co/IMGadQRwP4,0
11/16/2020 23:21,1.33E+18,@Apple I upgraded from a Mini 5 which was great and the experience with the magic keyboard is fantastic.  I have a… https://t.co/tU8DkY4AQO,0
